Epoch 1/500, Train miss rmse:0.2252, obse rmse:0.1942, porosity:0.2327 G loss:28.4372, d loss:0.6630, g loss:5.1648, g loss temp:0.2765, MSE loss:0.0489
Epoch 2/500, Train miss rmse:0.2210, obse rmse:0.1951, porosity:0.2280 G loss:27.6741, d loss:0.5873, g loss:4.8725, g loss temp:0.1475, MSE loss:0.0473
Epoch 3/500, Train miss rmse:0.2244, obse rmse:0.1898, porosity:0.2872 G loss:33.7568, d loss:0.5850, g loss:5.0359, g loss temp:0.2983, MSE loss:0.0474
Epoch 4/500, Train miss rmse:0.2200, obse rmse:0.1942, porosity:0.2773 G loss:32.7942, d loss:0.5436, g loss:5.0611, g loss temp:0.1172, MSE loss:0.0494
Epoch 5/500, Train miss rmse:0.2176, obse rmse:0.1966, porosity:0.2657 G loss:31.6412, d loss:0.5063, g loss:5.0690, g loss temp:0.0987, MSE loss:0.0497
Epoch 6/500, Train miss rmse:0.2208, obse rmse:0.1930, porosity:0.2007 G loss:25.1356, d loss:0.5473, g loss:5.0648, g loss temp:0.1922, MSE loss:0.0487
Epoch 7/500, Train miss rmse:0.2246, obse rmse:0.1877, porosity:0.2526 G loss:30.2773, d loss:0.5477, g loss:5.0220, g loss temp:0.3553, MSE loss:0.0467
Epoch 8/500, Train miss rmse:0.2216, obse rmse:0.1932, porosity:0.3048 G loss:35.5426, d loss:0.5313, g loss:5.0579, g loss temp:0.2473, MSE loss:0.0481
Epoch 9/500, Train miss rmse:0.2242, obse rmse:0.1883, porosity:0.3306 G loss:38.1248, d loss:0.5136, g loss:5.0660, g loss temp:0.3890, MSE loss:0.0468
Epoch 10/500, Train miss rmse:0.2236, obse rmse:0.1885, porosity:0.2437 G loss:29.3718, d loss:0.4896, g loss:5.0002, g loss temp:0.4176, MSE loss:0.0458
Epoch 11/500, Train miss rmse:0.2234, obse rmse:0.1891, porosity:0.3435 G loss:39.3788, d loss:0.4671, g loss:5.0323, g loss temp:0.4302, MSE loss:0.0460
Epoch 12/500, Train miss rmse:0.2238, obse rmse:0.1871, porosity:0.2687 G loss:31.9920, d loss:0.4243, g loss:5.1181, g loss temp:0.4958, MSE loss:0.0462
Epoch 13/500, Train miss rmse:0.2214, obse rmse:0.1894, porosity:0.1755 G loss:22.5418, d loss:0.4047, g loss:4.9890, g loss temp:0.4241, MSE loss:0.0456
Epoch 14/500, Train miss rmse:0.2195, obse rmse:0.1910, porosity:0.1271 G loss:17.7380, d loss:0.3695, g loss:5.0288, g loss temp:0.3963, MSE loss:0.0463
Epoch 15/500, Train miss rmse:0.2208, obse rmse:0.1877, porosity:0.2168 G loss:26.7957, d loss:0.3403, g loss:5.1138, g loss temp:0.7008, MSE loss:0.0441
Epoch 16/500, Train miss rmse:0.2168, obse rmse:0.1879, porosity:0.2250 G loss:27.5356, d loss:0.3134, g loss:5.0351, g loss temp:0.3358, MSE loss:0.0470
Epoch 17/500, Train miss rmse:0.2202, obse rmse:0.1826, porosity:0.2852 G loss:33.6300, d loss:0.3081, g loss:5.1058, g loss temp:0.8078, MSE loss:0.0430
Epoch 18/500, Train miss rmse:0.2115, obse rmse:0.1882, porosity:0.1942 G loss:24.1093, d loss:0.2520, g loss:4.6926, g loss temp:0.2691, MSE loss:0.0442
Epoch 19/500, Train miss rmse:0.2132, obse rmse:0.1836, porosity:0.2125 G loss:26.0018, d loss:0.2465, g loss:4.7532, g loss temp:0.3717, MSE loss:0.0438
Epoch 20/500, Train miss rmse:0.2166, obse rmse:0.1794, porosity:0.1750 G loss:22.2127, d loss:0.2411, g loss:4.7102, g loss temp:0.6086, MSE loss:0.0410
Epoch 21/500, Train miss rmse:0.2159, obse rmse:0.1775, porosity:0.1722 G loss:21.9564, d loss:0.2104, g loss:4.7406, g loss temp:0.5638, MSE loss:0.0418
Epoch 22/500, Train miss rmse:0.2135, obse rmse:0.1762, porosity:0.1295 G loss:17.7113, d loss:0.1778, g loss:4.7601, g loss temp:0.5158, MSE loss:0.0424
Epoch 23/500, Train miss rmse:0.2120, obse rmse:0.1787, porosity:0.0979 G loss:14.5531, d loss:0.1621, g loss:4.7591, g loss temp:0.7284, MSE loss:0.0403
Epoch 24/500, Train miss rmse:0.2122, obse rmse:0.1740, porosity:0.1388 G loss:18.4503, d loss:0.1388, g loss:4.5742, g loss temp:0.5533, MSE loss:0.0402
Epoch 25/500, Train miss rmse:0.2060, obse rmse:0.1761, porosity:0.1517 G loss:19.7645, d loss:0.1117, g loss:4.5930, g loss temp:0.3819, MSE loss:0.0421
Epoch 26/500, Train miss rmse:0.2183, obse rmse:0.1655, porosity:0.1835 G loss:23.4650, d loss:0.1517, g loss:5.1168, g loss temp:1.4473, MSE loss:0.0367
Epoch 27/500, Train miss rmse:0.2182, obse rmse:0.1679, porosity:0.1411 G loss:19.0802, d loss:0.1164, g loss:4.9752, g loss temp:1.2347, MSE loss:0.0374
Epoch 28/500, Train miss rmse:0.2078, obse rmse:0.1742, porosity:0.1096 G loss:15.4418, d loss:0.0985, g loss:4.4773, g loss temp:0.4513, MSE loss:0.0403
Epoch 29/500, Train miss rmse:0.2109, obse rmse:0.1685, porosity:0.0969 G loss:14.2711, d loss:0.1088, g loss:4.5859, g loss temp:0.8228, MSE loss:0.0376
Epoch 30/500, Train miss rmse:0.2130, obse rmse:0.1653, porosity:0.0680 G loss:11.5234, d loss:0.0992, g loss:4.7245, g loss temp:1.0666, MSE loss:0.0366
Epoch 31/500, Train miss rmse:0.2028, obse rmse:0.1720, porosity:0.0723 G loss:11.6650, d loss:0.0741, g loss:4.4361, g loss temp:0.4426, MSE loss:0.0399
