Epoch 1/3000, Train miss rmse:0.2499, obse rmse:0.2303, Test miss rmse:0.2498, obse rmse:0.2315
Epoch 2/3000, Train miss rmse:0.2383, obse rmse:0.2217, Test miss rmse:0.2383, obse rmse:0.2233
Epoch 3/3000, Train miss rmse:0.2224, obse rmse:0.2161, Test miss rmse:0.2222, obse rmse:0.2177
Epoch 4/3000, Train miss rmse:0.2121, obse rmse:0.2116, Test miss rmse:0.2113, obse rmse:0.2129
Epoch 5/3000, Train miss rmse:0.2098, obse rmse:0.2049, Test miss rmse:0.2089, obse rmse:0.2060
Epoch 6/3000, Train miss rmse:0.2098, obse rmse:0.2005, Test miss rmse:0.2090, obse rmse:0.2017
Epoch 7/3000, Train miss rmse:0.2089, obse rmse:0.2005, Test miss rmse:0.2084, obse rmse:0.2018
Epoch 8/3000, Train miss rmse:0.2091, obse rmse:0.2002, Test miss rmse:0.2089, obse rmse:0.2017
Epoch 9/3000, Train miss rmse:0.2089, obse rmse:0.2002, Test miss rmse:0.2085, obse rmse:0.2016
Epoch 10/3000, Train miss rmse:0.2085, obse rmse:0.2005, Test miss rmse:0.2083, obse rmse:0.2019
Epoch 11/3000, Train miss rmse:0.2084, obse rmse:0.2007, Test miss rmse:0.2080, obse rmse:0.2021
Epoch 12/3000, Train miss rmse:0.2090, obse rmse:0.1999, Test miss rmse:0.2087, obse rmse:0.2014
Epoch 13/3000, Train miss rmse:0.2085, obse rmse:0.2003, Test miss rmse:0.2082, obse rmse:0.2017
Epoch 14/3000, Train miss rmse:0.2085, obse rmse:0.2003, Test miss rmse:0.2082, obse rmse:0.2017
Epoch 15/3000, Train miss rmse:0.2086, obse rmse:0.2001, Test miss rmse:0.2083, obse rmse:0.2016
Epoch 16/3000, Train miss rmse:0.2086, obse rmse:0.2002, Test miss rmse:0.2083, obse rmse:0.2016
Epoch 17/3000, Train miss rmse:0.2085, obse rmse:0.2001, Test miss rmse:0.2082, obse rmse:0.2016
Epoch 18/3000, Train miss rmse:0.2087, obse rmse:0.1999, Test miss rmse:0.2084, obse rmse:0.2014
Epoch 19/3000, Train miss rmse:0.2086, obse rmse:0.2000, Test miss rmse:0.2082, obse rmse:0.2015
Epoch 20/3000, Train miss rmse:0.2085, obse rmse:0.2000, Test miss rmse:0.2083, obse rmse:0.2015
Epoch 21/3000, Train miss rmse:0.2082, obse rmse:0.2003, Test miss rmse:0.2078, obse rmse:0.2018
Epoch 22/3000, Train miss rmse:0.2081, obse rmse:0.2004, Test miss rmse:0.2079, obse rmse:0.2019
Epoch 23/3000, Train miss rmse:0.2084, obse rmse:0.2000, Test miss rmse:0.2081, obse rmse:0.2016
Epoch 24/3000, Train miss rmse:0.2081, obse rmse:0.2003, Test miss rmse:0.2079, obse rmse:0.2018
